# KYCut Product Catalog
# Format: Product Name | Price | Logo Filename

## NEO-BANKS
DEUTSCHE BANK | $700 | deutsche-bank-es-logo.svg

## ITALY BANKS
YAP | $300 | yap-it-logo.svg
YUH | $400 | yuh-it-logo.svg
FLOWE | $400 | flowe-it-logo.svg
BUDDYBANK | $500 | buddybank-it-logo.svg
HYPE | $500 | hype-it-logo.svg
FINECO | $550 | fineco-it-logo.svg
BBVA | $600 | bbva-it-logo.svg
ING | $600 | ing-it-logo.svg
ISYBANK | $600 | isybank-it-logo.svg
N26 | $650 | n26-it-logo.svg
ILLIMITY IT | $650 | illimity-it-logo.svg
POSTE IT | $650 | poste-it-logo.svg
BANCOBPM | $650 | bancobpm-it-logo.svg
FINDOMESTIC | $800 | findomestic-it-logo.svg

## GERMANY BANKS
TOMORROW | $700 | tomorrow-de-logo.svg
DEUTSCHE BANK | $1000 | deutsche-bank-de-logo.svg
N26 | $1200 | n26-de-logo.svg
HVB | $1700 | hvb-de-logo.svg
C24 | $2000 | c24-de-logo.svg
